34501;1586;2;NULL
34502;1586;3;NULL
34503;1586;76;NULL
34504;1586;197;NULL
34505;1586;198;NULL
34506;1586;132;NULL
34507;1586;13;NULL
34508;1586;75;NULL
34509;1586;15;NULL
34510;1586;17;NULL
34511;1586;152;NULL
34512;1586;84;NULL
34513;1586;83;NULL
34514;1586;93;NULL
34515;1586;144;NULL
34516;1586;24;NULL
34517;1586;146;NULL
34518;1586;100;NULL
34519;1586;33;NULL
34520;1586;38;NULL
34521;1586;39;NULL
34522;1586;37;NULL
34523;1586;46;NULL
34524;1586;47;NULL
34525;1586;105;NULL
34526;1586;186;NULL
34527;1586;48;NULL
34528;1586;55;NULL
34529;1586;62;NULL
34530;1586;61;NULL
