33661;1032;137;NULL
33662;1032;69;NULL
33663;1032;138;NULL
33664;1032;200;NULL
33665;1032;5;NULL
33666;1032;66;NULL
33667;1032;143;NULL
33668;1032;131;NULL
33669;1032;73;NULL
33670;1032;14;NULL
33671;1032;154;NULL
33672;1032;19;NULL
33673;1032;155;NULL
33674;1032;23;NULL
33675;1032;145;NULL
33676;1032;146;NULL
33677;1032;28;NULL
33678;1032;91;NULL
33679;1032;170;NULL
33680;1032;35;NULL
33681;1032;168;NULL
33682;1032;98;NULL
33683;1032;175;NULL
33684;1032;43;NULL
33685;1032;161;NULL
33686;1032;108;NULL
33687;1032;105;NULL
33688;1032;55;NULL
33689;1032;113;NULL
33690;1032;127;NULL
