0;380 = 0;fcAEm1zFJcLgPXR1klxRFpakAMwETFFsjNqc3gdx;9l6jK7ijk3fwHlKthhry5wG1fn7KqTi5s7NhcVTp
vub9tgftW0Cqp5bjljSqo4oZyDHR7F7IKHdoTTeY;0 = 0;!2;!2
9l6jK7ijk3fwHlKthhry5wG1fn7KqTi5s7NhcVTp;22 = 0;!1;vub9tgftW0Cqp5bjljSqo4oZyDHR7F7IKHdoTTeY
fcAEm1zFJcLgPXR1klxRFpakAMwETFFsjNqc3gdx;0 = 0;!1;!1
