0;139 = 0;X7A7oyL4l3BBXfe16nVRZuFtPzjErMQfCtUJsGPd;xYumKJIXWpcY4As8YFvMJyLAd0fj7APmlJPm25V8
LRHAxs1FeYCr7j6QU1WgOBCVu06Q158zweLmrpkf;0 = 0;!2;!2
xYumKJIXWpcY4As8YFvMJyLAd0fj7APmlJPm25V8;21 = 0;!5;LRHAxs1FeYCr7j6QU1WgOBCVu06Q158zweLmrpkf
X7A7oyL4l3BBXfe16nVRZuFtPzjErMQfCtUJsGPd;0 = 0;!5;!5
