0;199 = 0;XFk19VHnFfaDDUWavQv6F6wxvAyvswyWlH6MZbta;1ixnZFP5JEU9PrCuyfo5Gwu6WzGz5KivctdP91PY
vlev8wp927uiAXKdGQZyCVgvy6rv5o9hFN1AJZfG;26 = 0;!2;!2
1ixnZFP5JEU9PrCuyfo5Gwu6WzGz5KivctdP91PY;389 = 0;!3;vlev8wp927uiAXKdGQZyCVgvy6rv5o9hFN1AJZfG
XFk19VHnFfaDDUWavQv6F6wxvAyvswyWlH6MZbta;0 = 0;!1;!1
