0;57 = 0;0HhaO8ISSIJYq0M17BSaI80qpBqLFHXnO1N7LXF3;n99bDhMPzARMBpNhddI8Tni03L9rmzW77Tm4X1to
D68pVKMYlAdHPTd9EAh9dUzJuqdeWpvMYVh5Vqva;26 = 0;SPWhPXAoL4ULlIyK0qx4S62fqq8ySsWsPPKMb1mi;eJEChCfMuzCdPVHImLyynLx9VuocMri1fULtMzQU
eJEChCfMuzCdPVHImLyynLx9VuocMri1fULtMzQU;0 = 0;!2;!2
SPWhPXAoL4ULlIyK0qx4S62fqq8ySsWsPPKMb1mi;399 = 0;xlk8exqvOR8dYPFovX2lboAEml1BGjXj3LhXJuIC;CCPj7pweP8RB7dfhFvlRj927PJjWDi0iCEqUlxxm
CCPj7pweP8RB7dfhFvlRj927PJjWDi0iCEqUlxxm;0 = 0;!3;!3
xlk8exqvOR8dYPFovX2lboAEml1BGjXj3LhXJuIC;395 = 0;!1;!1
n99bDhMPzARMBpNhddI8Tni03L9rmzW77Tm4X1to;48 = 0;!1;D68pVKMYlAdHPTd9EAh9dUzJuqdeWpvMYVh5Vqva
0HhaO8ISSIJYq0M17BSaI80qpBqLFHXnO1N7LXF3;0 = 0;!1;!1
