0;27 = 0;1CMB882xWN3C4v5WQl33c7p7IFZqmWsgd7efKZbx;0eVGr8EfFA0MtvWzD0NKKAdDeXHd7OeikVPHMx0Q
S8gZJAtIJiz5noAHUD2xIoLOs6AH9zxMjWgTweVo;0 = 0;!1;!1
r3azlrhBqIHq59Bv3On1JMm3MCEjDecbqql2YVJ3;397 = 0;S8gZJAtIJiz5noAHUD2xIoLOs6AH9zxMjWgTweVo;!5
E4KIzIkdTEINgm77TJzxrNY6nnUS93fvpwATUvKI;28 = 0;!4;r3azlrhBqIHq59Bv3On1JMm3MCEjDecbqql2YVJ3
0eVGr8EfFA0MtvWzD0NKKAdDeXHd7OeikVPHMx0Q;36 = 0;!5;E4KIzIkdTEINgm77TJzxrNY6nnUS93fvpwATUvKI
1CMB882xWN3C4v5WQl33c7p7IFZqmWsgd7efKZbx;0 = 0;!5;!5
