0;412 = 0;nPYzU7YxH9qpRkxNhyAlJDVW70oIzp6WDP4dxzS3;qoXvvrcapPcxHSF3uLEyNqgwXVn8GqHYAecOlYqD
UBYZiy4FdqAQLZTM5tAwMru5fgEMwSWHvChJoxc1;0 = 0;!2;!2
fzr14i8UoPAsxyKtkuC5IbQITD5grKP6xuZjKE1n;25 = 0;!1;UBYZiy4FdqAQLZTM5tAwMru5fgEMwSWHvChJoxc1
qoXvvrcapPcxHSF3uLEyNqgwXVn8GqHYAecOlYqD;22 = 0;!1;fzr14i8UoPAsxyKtkuC5IbQITD5grKP6xuZjKE1n
nPYzU7YxH9qpRkxNhyAlJDVW70oIzp6WDP4dxzS3;0 = 0;!1;!1
