0;252 = 0;7788LSk3PHBvBrQ9etGIdKjhyh94N609R9cYpg0E;ba6AAeHk8Hsm1peeOeQgkgLeJXd6nKSvnUElRM9k
zvHGWYCDRtPffeYpx9ro2orXuPegkOO50o9dGYQc;26 = 0;!2;!2
PsfSx8nKRgCb67abJJHjQzrqLljCoLYA0XIyxh7y;21 = 0;!4;zvHGWYCDRtPffeYpx9ro2orXuPegkOO50o9dGYQc
kgYtvfzDrKnCjYJukyrQiWqP2sirfSzQ43pbd4dn;35 = 0;!2;PsfSx8nKRgCb67abJJHjQzrqLljCoLYA0XIyxh7y
724KGVSVRuI53k1RamZhMBuH6Bg9NdmiYRZA3CMG;25 = 0;!3;kgYtvfzDrKnCjYJukyrQiWqP2sirfSzQ43pbd4dn
ba6AAeHk8Hsm1peeOeQgkgLeJXd6nKSvnUElRM9k;399 = 0;!3;724KGVSVRuI53k1RamZhMBuH6Bg9NdmiYRZA3CMG
7788LSk3PHBvBrQ9etGIdKjhyh94N609R9cYpg0E;0 = 0;!4;!4
