0;89 = 0;ImdG66GBpy87Nj1Z5VLzbeYajp07dTpq1frMHLrk;wmAHtGx8NOkpRwk2BLRPskZ8YJnzZFLe8F4IVmKN
k2iDJFKUKtNyPIJsur20CsSfbMCtvFIfZuxK07z7;0 = 0;!4;!4
1CFsu4AEipk6wG5m2RewODZmzA717micL3R0ikhG;399 = 0;k2iDJFKUKtNyPIJsur20CsSfbMCtvFIfZuxK07z7;!3
WFIbtV0I4emGA486KCcyv1Bp1iDrD76fsqDKAsNx;34 = 0;!3;1CFsu4AEipk6wG5m2RewODZmzA717micL3R0ikhG
SbhgWMFnolW4tplGEL1z3j8ez5LZp2akwskIotEQ;197 = 0;!4;WFIbtV0I4emGA486KCcyv1Bp1iDrD76fsqDKAsNx
wmAHtGx8NOkpRwk2BLRPskZ8YJnzZFLe8F4IVmKN;21 = 0;!2;SbhgWMFnolW4tplGEL1z3j8ez5LZp2akwskIotEQ
ImdG66GBpy87Nj1Z5VLzbeYajp07dTpq1frMHLrk;0 = 0;!3;!3
