0;286 = 0;xNTmUPqNqLuzLhG4NwJxxwYE2G5hr5sNv9eCSgWf;MPi028MYEse7qK14XUnuYHLnc5qU1A2VJqC3WWmp
mxdUchTAlZGfKlA4gNttnEyeBcYfm80822x0lA0E;59 = 0;!1;!1
e0IxY7rXqsxgKtXdm95uUt22BsuVdU4Hk47ugaER;399 = 0;!0;mxdUchTAlZGfKlA4gNttnEyeBcYfm80822x0lA0E
MPi028MYEse7qK14XUnuYHLnc5qU1A2VJqC3WWmp;22 = 0;!5;e0IxY7rXqsxgKtXdm95uUt22BsuVdU4Hk47ugaER
xNTmUPqNqLuzLhG4NwJxxwYE2G5hr5sNv9eCSgWf;0 = 0;!5;!5
