0;68 = 0;qF0IeC1pVwmLYrQK3i0M4qxmhQYizoLHLWfCUzN7;zTy7XasPOhZuvQ7sdglCJRVGgpG2ARmOQikTLKEg
SLVyHskHh7q8AyrgJbjzrJzYvVYMJlnyQXrywUXx;0 = 0;!2;!2
zTy7XasPOhZuvQ7sdglCJRVGgpG2ARmOQikTLKEg;22 = 0;!1;SLVyHskHh7q8AyrgJbjzrJzYvVYMJlnyQXrywUXx
qF0IeC1pVwmLYrQK3i0M4qxmhQYizoLHLWfCUzN7;0 = 0;!1;!1
