0;138 = 0;B1IGugDqOEpriWRNifgSKzEVdDcNoHBi4x7pughm;TSmjO8LTy6gCW9GI6yDlu5v9fcowEKpYk2enhva3
jpmtGZxS47QOJ5Re6rkRdqiMih3GxAyhBbIO8JBd;0 = 0;!2;!2
TSmjO8LTy6gCW9GI6yDlu5v9fcowEKpYk2enhva3;22 = 0;!1;jpmtGZxS47QOJ5Re6rkRdqiMih3GxAyhBbIO8JBd
B1IGugDqOEpriWRNifgSKzEVdDcNoHBi4x7pughm;0 = 0;!1;!1
