0;144 = 0;oeNeWGod0TLOvrhNSrK7hvWB32dJgEFZc0wnaSHT;7wlxKM1vk4ORF1KMEvqP0HEESsobPcOpj1cbfPnr
wAIOAwMjK4lWzic4gxCv4ghJ9Iad8pfS1MTLRVwo;26 = 0;s8gFzXMhZeTdQ2RrbWQdLfGZvmjCQbVjxfJf9xdb;kJEXfmj05AlNBZBvyxjpGMEE0Bjf03SKRNYHjzrz
kJEXfmj05AlNBZBvyxjpGMEE0Bjf03SKRNYHjzrz;0 = 0;!2;!2
s8gFzXMhZeTdQ2RrbWQdLfGZvmjCQbVjxfJf9xdb;0 = 0;!2;!2
KhDCRmzUbtnuWi3b2oF6WUW0aobWjGsAdUW1zs0n;395 = 0;!0;wAIOAwMjK4lWzic4gxCv4ghJ9Iad8pfS1MTLRVwo
7wlxKM1vk4ORF1KMEvqP0HEESsobPcOpj1cbfPnr;48 = 0;!1;KhDCRmzUbtnuWi3b2oF6WUW0aobWjGsAdUW1zs0n
oeNeWGod0TLOvrhNSrK7hvWB32dJgEFZc0wnaSHT;0 = 0;!4;!4
