0;105 = 0;EU8Rxufp4xGu1kU1489a9yDvyQxC7EAbz3BChxAa;sQbftIy1FE7O5iTGdSuP1IJrLDFxDXiH85U4QeiK
25h4Z6JnIco7bnSdO9BBRhCq0ftfi3j3W1FhS4CW;0 = 0;!4;!4
kZKYnZ5SpIth6Gne3Kf2x71IYkGv4torclkRr9oa;34 = 0;!2;25h4Z6JnIco7bnSdO9BBRhCq0ftfi3j3W1FhS4CW
sQbftIy1FE7O5iTGdSuP1IJrLDFxDXiH85U4QeiK;32 = 0;!1;kZKYnZ5SpIth6Gne3Kf2x71IYkGv4torclkRr9oa
EU8Rxufp4xGu1kU1489a9yDvyQxC7EAbz3BChxAa;0 = 0;!2;!2
