0;214 = 0;ooiznrTsOoeAx2I2APaUzSFhiuf4yQ6lR2F3xcLk;klsl5HUzl47xYO2eVKcMFl34XA1yFznbbn2uhhhP
klsl5HUzl47xYO2eVKcMFl34XA1yFznbbn2uhhhP;399 = 0;FFTesI3Jvprp0Cy3icEY4QPa6zLTBxGIm6QZSSmk;GmDRnktlLfX8Co7aIDKMxs9INUtrLfdda4JIeLWz
4SwuzK2pWAuDHxyhvAAhm7KsKBtKNaaGnhFpKl8H;0 = 0;!2;!2
GmDRnktlLfX8Co7aIDKMxs9INUtrLfdda4JIeLWz;48 = 0;4SwuzK2pWAuDHxyhvAAhm7KsKBtKNaaGnhFpKl8H;!4
FFTesI3Jvprp0Cy3icEY4QPa6zLTBxGIm6QZSSmk;21 = 0;!5;!5
ooiznrTsOoeAx2I2APaUzSFhiuf4yQ6lR2F3xcLk;0 = 0;!2;!2
