0;40 = 0;LhDbUvtPmGkcwYDDubTD6ihWCC4va1JlslxJtHEu;rQtXaTivLhbo9dvlP8kCUxK35zZaNhkdGtyyjFOp
dtgfyt9aOf0ZdIrElcOkfW69XVKmHyadWELQxRuA;28 = 0;!3;!3
tiulOj3uTAeMjivVIJD7H63mDenKFNGGRPTo22na;369 = 0;!4;dtgfyt9aOf0ZdIrElcOkfW69XVKmHyadWELQxRuA
rQtXaTivLhbo9dvlP8kCUxK35zZaNhkdGtyyjFOp;399 = 0;!5;tiulOj3uTAeMjivVIJD7H63mDenKFNGGRPTo22na
LhDbUvtPmGkcwYDDubTD6ihWCC4va1JlslxJtHEu;0 = 0;!4;!4
