0;299 = 0;aG0jUMuFtl119rMLxO2OfoCCcTMBQk4OwEmw2TE3;peIqAwFx9zLKwknYUgJJMr8bqdAEUeR3FzcJcXGp
peIqAwFx9zLKwknYUgJJMr8bqdAEUeR3FzcJcXGp;0 = 0;!1;!1
aG0jUMuFtl119rMLxO2OfoCCcTMBQk4OwEmw2TE3;0 = 0;!5;!5
