0;13 = 0;PkxDOmorGeqm5enK2314xH5QwepXMIjy85D6sGib;KxChtxMGnvuYazayGQZWyqG0rcYJimtbQYcpjTS4
R6Ln296Al1xkfk81DWrE32owoCHV3cUNOPxbIm9N;0 = 0;!3;!3
QIMigAFYCQdxDfB3CFBPZdC0pSc7yZePElUnYvzV;28 = 0;!5;R6Ln296Al1xkfk81DWrE32owoCHV3cUNOPxbIm9N
pycKopc9IPt1EwaY1J42B2bqSCsBVgPmTKvhU6PK;34 = 0;!5;QIMigAFYCQdxDfB3CFBPZdC0pSc7yZePElUnYvzV
KxChtxMGnvuYazayGQZWyqG0rcYJimtbQYcpjTS4;21 = 0;!5;pycKopc9IPt1EwaY1J42B2bqSCsBVgPmTKvhU6PK
PkxDOmorGeqm5enK2314xH5QwepXMIjy85D6sGib;0 = 0;!5;!5
