0;113 = 0;TduQvwCjLVzzH3TLsg0tNIxy7AFXjvWdaygHGFa4;SCFOQKqX66k0VMSSwoaunWxyVVm5mHNsDpQvyhRm
CTs9gC7WeTA7xLhRbGA3bbP4YHhhMfzc7nBXDbsJ;26 = 0;7GStJEkLDN02VohhJKAnDcviZcXKvZlUFW79WocE;o50mD9eazk1KlVji5C9fJJ8jKtsxjYn6FK61AqwE
o50mD9eazk1KlVji5C9fJJ8jKtsxjYn6FK61AqwE;0 = 0;!4;!4
7GStJEkLDN02VohhJKAnDcviZcXKvZlUFW79WocE;399 = 0;!3;!4
ngo8uJqcLE9CJgkoK8oDTzKgetXpEsqNXQ0wzPoj;48 = 0;!3;CTs9gC7WeTA7xLhRbGA3bbP4YHhhMfzc7nBXDbsJ
SCFOQKqX66k0VMSSwoaunWxyVVm5mHNsDpQvyhRm;334 = 0;!2;ngo8uJqcLE9CJgkoK8oDTzKgetXpEsqNXQ0wzPoj
TduQvwCjLVzzH3TLsg0tNIxy7AFXjvWdaygHGFa4;0 = 0;!3;!3
