0;377 = 0;IQAB4t3yUtHDKlYJgZNWbifx5GL8pI1aZOW3Qlj9;T8YzERCLQrXrUlN8csBT9YG0RyWMhg0lOi80s2s9
JtRyB9s5Ma3jPywwIB54Yt2nu2sV9NFrYSZrK7oW;59 = 0;!1;!1
T8YzERCLQrXrUlN8csBT9YG0RyWMhg0lOi80s2s9;22 = 0;!5;JtRyB9s5Ma3jPywwIB54Yt2nu2sV9NFrYSZrK7oW
IQAB4t3yUtHDKlYJgZNWbifx5GL8pI1aZOW3Qlj9;0 = 0;!5;!5
