0;242 = 0;7NJtXUMHxmrvTtRt4YB0k8k8Li90pog46PXr0Eny;m87l75EfQEHTbkainZ4FVibpGsZJRK4Zc5WhmM2X
21b2Ek0KwgXt10AJrAEXJm1JraLOTeHHCZvi7XWH;0 = 0;!2;!2
scstW1ILC3sSN6wZBAS3b2APB9qoelJL2DaZgacC;53 = 0;21b2Ek0KwgXt10AJrAEXJm1JraLOTeHHCZvi7XWH;!5
eQgpQ4d8Z6WCTKFmWbgs78t6MnPzxJ58PLqWkAPu;34 = 0;!1;scstW1ILC3sSN6wZBAS3b2APB9qoelJL2DaZgacC
m87l75EfQEHTbkainZ4FVibpGsZJRK4Zc5WhmM2X;395 = 0;!3;eQgpQ4d8Z6WCTKFmWbgs78t6MnPzxJ58PLqWkAPu
7NJtXUMHxmrvTtRt4YB0k8k8Li90pog46PXr0Eny;0 = 0;!4;!4
