0;100 = 0;as0NgFDwRxH348REKF0MbdLNw4hq7oe4SkIqmben;YzqaeM6UyZxtQQA6BQ4dKQsL7s70SbtB6TRXapex
0Im6yrXPlUNS4nbxwgAxMrN3RQHyghX7Mm8hMdj4;0 = 0;!2;!2
sMg16uLlBF2MEIPer0YCU8TDZsC52fvej8gf9UxM;36 = 0;!1;0Im6yrXPlUNS4nbxwgAxMrN3RQHyghX7Mm8hMdj4
YzqaeM6UyZxtQQA6BQ4dKQsL7s70SbtB6TRXapex;33 = 0;!3;sMg16uLlBF2MEIPer0YCU8TDZsC52fvej8gf9UxM
as0NgFDwRxH348REKF0MbdLNw4hq7oe4SkIqmben;0 = 0;!1;!1
