0;22 = 0;ALAnidvc27VxuQb4twaHSnSFY1DnAnMImBQMld7V;Ipy2UUjcYTKar8pALg46hvfzRIsBELRz7cwsI2rM
b0PxNGzf16wX4numQIOlfdIJRmTk8Y50IrGfsgPD;59 = 0;!3;!1
Ipy2UUjcYTKar8pALg46hvfzRIsBELRz7cwsI2rM;35 = 0;!2;b0PxNGzf16wX4numQIOlfdIJRmTk8Y50IrGfsgPD
ALAnidvc27VxuQb4twaHSnSFY1DnAnMImBQMld7V;0 = 0;!5;!5
