0;40 = 0;zWnNL2tMcPenjXdB8do2KXOsQJCFLB6vhdpFoRP4;WkC5BEuz15xrJdTHotESmHS1lBkYzwajAp6HMX7r
Th84dfFpUeA3Io470pwdxVI3YEGuHytMiQuiz4bs;59 = 0;!3;!3
WkC5BEuz15xrJdTHotESmHS1lBkYzwajAp6HMX7r;23 = 0;!4;Th84dfFpUeA3Io470pwdxVI3YEGuHytMiQuiz4bs
zWnNL2tMcPenjXdB8do2KXOsQJCFLB6vhdpFoRP4;0 = 0;!3;!3
