0;60 = 0;qTh6vORF5rRg6vuUSvCxSqn5Kh6OPnIH4LITBOUw;PNRAIrTt9G9LNwyd6ZqaSdn3657yP1bsMJdcPNmA
PNRAIrTt9G9LNwyd6ZqaSdn3657yP1bsMJdcPNmA;0 = 0;!2;!2
qTh6vORF5rRg6vuUSvCxSqn5Kh6OPnIH4LITBOUw;0 = 0;!1;!1
