0;80 = 0;JeIENt6neCuVIIYYvlpiUMAvjV82xgWsEP89Np30;XDNW9W5Cr3U7BeIUVgVUkQnr5YxUpjpeZL7ty4kK
XDNW9W5Cr3U7BeIUVgVUkQnr5YxUpjpeZL7ty4kK;0 = 0;!1;!1
JeIENt6neCuVIIYYvlpiUMAvjV82xgWsEP89Np30;0 = 0;!4;!4
