0;18 = 0;lKH3gowDqefrJusnY6tybvtBVFG9MwExRFosvsNI;aV6vSMTJRFCtZa5qihd8alpuuUatKa4FkiamI20q
saxO9KFPGbUFnsOH1YoWTpCBCqPTVDxJX4HGiKDs;26 = 0;!1;!1
aV6vSMTJRFCtZa5qihd8alpuuUatKa4FkiamI20q;232 = 0;!5;saxO9KFPGbUFnsOH1YoWTpCBCqPTVDxJX4HGiKDs
lKH3gowDqefrJusnY6tybvtBVFG9MwExRFosvsNI;0 = 0;!5;!5
