0;329 = 0;aNGTZQHc6Dc6T3ZNeZMSAHitnKrZ3GvjFsGZ0uld;cHB6BsToIygram22IG816TG8ASd2uMMc7X02H33V
LkYZvWaKxZjpzw5HomDQw1h84ExWxgR8bx3xD94i;26 = 0;!2;!2
EyEhpTsWMNFhaTByhhKHBHI39NZPCto9wWxd1uvo;21 = 0;!4;LkYZvWaKxZjpzw5HomDQw1h84ExWxgR8bx3xD94i
Zs9SjOfzmSSotjHHkPlHWdlH8UxHM7tx1K69Guda;48 = 0;!2;EyEhpTsWMNFhaTByhhKHBHI39NZPCto9wWxd1uvo
iIEgoL3a75TTxPcRS9OyWlBbxarCzmGp5L3YA3M0;25 = 0;!3;Zs9SjOfzmSSotjHHkPlHWdlH8UxHM7tx1K69Guda
cHB6BsToIygram22IG816TG8ASd2uMMc7X02H33V;399 = 0;!3;iIEgoL3a75TTxPcRS9OyWlBbxarCzmGp5L3YA3M0
aNGTZQHc6Dc6T3ZNeZMSAHitnKrZ3GvjFsGZ0uld;0 = 0;!4;!4
