0;139 = 0;zEDP8CyJXXkXbZS0Ee4CN9oZPq7snnk4JUcqVVj4;BYt8DgSaOBvpfGfrXOhsbfQAsBs4ekKzwKMLdaGG
atFkd5y7cSJmQk6S3np2zfSOYODqOHcsS0Dv4CHf;28 = 0;!4;!1
aujUfhu2W75Em4OBwt8lpO1J9CAqZNx21BdRfd9v;22 = 0;!3;atFkd5y7cSJmQk6S3np2zfSOYODqOHcsS0Dv4CHf
BYt8DgSaOBvpfGfrXOhsbfQAsBs4ekKzwKMLdaGG;34 = 0;!0;aujUfhu2W75Em4OBwt8lpO1J9CAqZNx21BdRfd9v
zEDP8CyJXXkXbZS0Ee4CN9oZPq7snnk4JUcqVVj4;0 = 0;!1;!1
