0;98 = 0;rE0wfxOKjizVNki85LekCWIeqT4OeYsyJenQJmmu;FnpYaTzbtvPYJgtgQm8Il1WBU327oprIBeuRyj0x
qNPyzNV30CR7LfJcjBmldMqyIfvrbqWX3mnJkZLE;396 = 0;!1;!1
XRSb9rtGlevVoDo2qAccYxDDn2M5ELY4Kx7EkPrH;35 = 0;!3;qNPyzNV30CR7LfJcjBmldMqyIfvrbqWX3mnJkZLE
QAWkBFH6Keexn7DYLQvr4k6ZmhVmNZLPtHNpfnjn;36 = 0;!3;XRSb9rtGlevVoDo2qAccYxDDn2M5ELY4Kx7EkPrH
FnpYaTzbtvPYJgtgQm8Il1WBU327oprIBeuRyj0x;21 = 0;!2;QAWkBFH6Keexn7DYLQvr4k6ZmhVmNZLPtHNpfnjn
rE0wfxOKjizVNki85LekCWIeqT4OeYsyJenQJmmu;0 = 0;!1;!1
