0;414 = 0;rW7OH4OjW0kd3BwyXYsZsQiw19cN8wQvSUPGPh6y;NPFqG5oiujy0lVnCoQdmDyZdEtwxbhAR7iCAnJo6
65e4uLsAZ0LEg9m16QXwRJ90TQOzY7oMhkRirp66;22 = 0;!4;!3
NPFqG5oiujy0lVnCoQdmDyZdEtwxbhAR7iCAnJo6;32 = 0;!2;65e4uLsAZ0LEg9m16QXwRJ90TQOzY7oMhkRirp66
rW7OH4OjW0kd3BwyXYsZsQiw19cN8wQvSUPGPh6y;0 = 0;!4;!4
