0;94 = 0;OvJI4WdvJUeH9RkBoXLfKLeh6Hx5gOBq0xsfptn9;2IhrCev5oIDkAng5ZqNS274BUR4ezbRQfVpURaDZ
2IhrCev5oIDkAng5ZqNS274BUR4ezbRQfVpURaDZ;399 = 0;XPlf7REr2VNIhfbQLMN4DnsTbTsPhGm23yPasROb;5a7AXOmPsWSn4fP5A4Pc0fAaZAQjSJdks7GF9UCf
5a7AXOmPsWSn4fP5A4Pc0fAaZAQjSJdks7GF9UCf;0 = 0;!1;!1
XPlf7REr2VNIhfbQLMN4DnsTbTsPhGm23yPasROb;33 = 0;!4;!4
OvJI4WdvJUeH9RkBoXLfKLeh6Hx5gOBq0xsfptn9;0 = 0;!2;!2
