0;147 = 0;GZa616TrqZY7QDMqspMbsuOITYFNV2clvVsjZKEd;YI9xZ1zkayRX35S2helgHaA6V3vDZzHGaFCJ98WB
fEIbF30FkE5mibEFWdGcJOH4kx46CBlQRLK6yr4e;26 = 0;!2;!2
YI9xZ1zkayRX35S2helgHaA6V3vDZzHGaFCJ98WB;21 = 0;!5;fEIbF30FkE5mibEFWdGcJOH4kx46CBlQRLK6yr4e
GZa616TrqZY7QDMqspMbsuOITYFNV2clvVsjZKEd;0 = 0;!5;!5
