0;49 = 0;OYvJXM28sWMFflqy4sXdrErU9YWC4uQYJ9ZtD8HQ;qIE89yMvhWZ3gdUxdlCjbumYgdcpRxY06xLA6XGE
LX8U9rl9I0eUlpuM4BgUxOBzNlyFFcsQFLUxoPMY;0 = 0;!5;!5
DQjhGiRjMeW51z0yQ82YriO9qO5Jo07L7V4tXldA;25 = 0;LX8U9rl9I0eUlpuM4BgUxOBzNlyFFcsQFLUxoPMY;!4
qIE89yMvhWZ3gdUxdlCjbumYgdcpRxY06xLA6XGE;397 = 0;!0;DQjhGiRjMeW51z0yQ82YriO9qO5Jo07L7V4tXldA
OYvJXM28sWMFflqy4sXdrErU9YWC4uQYJ9ZtD8HQ;0 = 0;!4;!4
