0;372 = 0;9KlYezfwnrHCeLEdNuKTxEqnA2O5y95d8513nWVJ;TTq0KkVYiwcukZ8mvUW84E9r1LXXIVquOddbGbHp
n9BtXkrFOMK5nH9wyCtjkJmSyN54jmEy1L4RkLN2;0 = 0;!4;!4
dr8DETDAJydb5XgsCoVfhID8zaqSusZbOg3o5JEI;25 = 0;!3;n9BtXkrFOMK5nH9wyCtjkJmSyN54jmEy1L4RkLN2
0SvngGuDy2vphkFM2ySieRXIOdQQ98lfO6ezhciR;115 = 0;!2;dr8DETDAJydb5XgsCoVfhID8zaqSusZbOg3o5JEI
TTq0KkVYiwcukZ8mvUW84E9r1LXXIVquOddbGbHp;36 = 0;!3;0SvngGuDy2vphkFM2ySieRXIOdQQ98lfO6ezhciR
9KlYezfwnrHCeLEdNuKTxEqnA2O5y95d8513nWVJ;0 = 0;!3;!3
