7DWo0UXKou023D1S4c8sXW3Sit2jmSFwZHh9FIyc;270 = 0;1Jr3H1fgytAlEKtl2YMmebEw6WCraXYetpmbd0IK;IsU4D2CbjQCo7cqmKftbgubDW1Ikk4cT7fj6B1UZ
c17D0vwCMu9TXAELOHgkWHcjOdwKJA6n4MOTMGSh;0 = 0;!0;!0
IsU4D2CbjQCo7cqmKftbgubDW1Ikk4cT7fj6B1UZ;35 = 0;!1;c17D0vwCMu9TXAELOHgkWHcjOdwKJA6n4MOTMGSh
1Jr3H1fgytAlEKtl2YMmebEw6WCraXYetpmbd0IK;0 = 0;!0;!0
0;26 = 0;7DWo0UXKou023D1S4c8sXW3Sit2jmSFwZHh9FIyc;!0
