0;100 = 0;KiM9dXyP1ahCPJfkqcFfBvfzL5Kt2XWfuWOsOcC5;1K8oC7ZFW8FdWTPWigDEis0qbTXTGfQlPNGP7xrC
1K8oC7ZFW8FdWTPWigDEis0qbTXTGfQlPNGP7xrC;26 = 0;hNKvHb0lcIen9IIH9QO6ZZ7zIEGyxUAsk37mEVP9;tU1cLey7PtH86JqnSM0eLYSIQwhdhLvUX7M16HzV
tU1cLey7PtH86JqnSM0eLYSIQwhdhLvUX7M16HzV;392 = 0;!2;!2
hNKvHb0lcIen9IIH9QO6ZZ7zIEGyxUAsk37mEVP9;0 = 0;!5;!5
KiM9dXyP1ahCPJfkqcFfBvfzL5Kt2XWfuWOsOcC5;0 = 0;!5;!5
