0;40 = 0;UKxhXn6I2duRsK53WBrHlfUC5tUObx5SRXTojfBv;q1j2I7OKShIZfK01uonbPzM9uTabUXjvSsHLTVSP
5T1zMMORMyiSKrH560cXOc0eDGhUpYhryUTS4wNv;26 = 0;!2;!2
q1j2I7OKShIZfK01uonbPzM9uTabUXjvSsHLTVSP;21 = 0;!5;5T1zMMORMyiSKrH560cXOc0eDGhUpYhryUTS4wNv
UKxhXn6I2duRsK53WBrHlfUC5tUObx5SRXTojfBv;0 = 0;!5;!5
