0;157 = 0;REDSIVDrYMJtqZTkqw3EOSxCYrEisWbMTP86jCCV;JRZj61vbvyXGIjolRt3fEju4tBcwQiZSToNvIbOA
NiAu4of7Mppcm8vEVeNj0VrbU2awYyRQmjw1X0W4;28 = 0;!4;!4
e0gGGgIRJgvvtdDtExkQNH09OLugN7mOgmxmMkHA;26 = 0;!3;NiAu4of7Mppcm8vEVeNj0VrbU2awYyRQmjw1X0W4
7xYgRs0fMSRTftCxztrqcpxmI8urD3635WkURSba;25 = 0;!3;e0gGGgIRJgvvtdDtExkQNH09OLugN7mOgmxmMkHA
pu7fKoYTSwiwk7KPH6c5hg6d9Qr4NiL409D3oTKs;399 = 0;!5;7xYgRs0fMSRTftCxztrqcpxmI8urD3635WkURSba
JRZj61vbvyXGIjolRt3fEju4tBcwQiZSToNvIbOA;369 = 0;!5;pu7fKoYTSwiwk7KPH6c5hg6d9Qr4NiL409D3oTKs
REDSIVDrYMJtqZTkqw3EOSxCYrEisWbMTP86jCCV;0 = 0;!5;!5
