0;99 = 0;GwAnxMpbWP3mWlurKWdjHrOgQObAw8DhtD7lPes4;OLO52SUwc1PCZBaxzFK3mCrDNUM9PZxSPZMmnii8
8nRElkJIGZ0GIUcqcoXPccA20wgQ7sd3TUEc6o1d;0 = 0;!4;!4
2Qg6KSoCuiha0EsQbWXNwMhuVYPvmSNFU7QYHt4N;34 = 0;8nRElkJIGZ0GIUcqcoXPccA20wgQ7sd3TUEc6o1d;!5
OLO52SUwc1PCZBaxzFK3mCrDNUM9PZxSPZMmnii8;22 = 0;!3;2Qg6KSoCuiha0EsQbWXNwMhuVYPvmSNFU7QYHt4N
GwAnxMpbWP3mWlurKWdjHrOgQObAw8DhtD7lPes4;0 = 0;!3;!3
