0;378 = 0;PwsjIWKWBRINayNEgeRkY5luoBvNGL6RaEHajkwV;UfphCf79FQma7njlua04qx6rvdlsJa6y4D4ufADh
E7FSv0qrJDn7WM8rW3XiwGgXq1YUtXkmRqZCfK4E;0 = 0;!2;!2
q0YqXnRt92ipXZKjMMywUZU1IaWZ6XblUuPqtM0P;28 = 0;!4;E7FSv0qrJDn7WM8rW3XiwGgXq1YUtXkmRqZCfK4E
pNSf5vRNmuVvPCJAx6SdqCrxlwtOivOiThI5I95b;22 = 0;!3;q0YqXnRt92ipXZKjMMywUZU1IaWZ6XblUuPqtM0P
UfphCf79FQma7njlua04qx6rvdlsJa6y4D4ufADh;48 = 0;!0;pNSf5vRNmuVvPCJAx6SdqCrxlwtOivOiThI5I95b
PwsjIWKWBRINayNEgeRkY5luoBvNGL6RaEHajkwV;0 = 0;!1;!1
