0;95 = 0;PUbLKEiCdwuPL5VC7Rx6F9SKvEj3jJn7wJhasJxR;mkBw71eHsavVmM4K4Ny6eL2pjZayr9mIpPvP4c1w
12G0HbgIM5stX8RxS7kV7jz9VwtSBqsIJFQJDPVS;0 = 0;!2;!2
mkBw71eHsavVmM4K4Ny6eL2pjZayr9mIpPvP4c1w;22 = 0;!1;12G0HbgIM5stX8RxS7kV7jz9VwtSBqsIJFQJDPVS
PUbLKEiCdwuPL5VC7Rx6F9SKvEj3jJn7wJhasJxR;0 = 0;!1;!1
