0;121 = 0;2NOjMpufwzHiIocSr84e9owifOIkVgLI2xWMarLp;599CbMH4cIImGh7v5wmmylLWFI3hFYHPwMOFwGPG
rQ9pjDNLqsxlUMzFm69qFC5TpRjx6cpA7mmBp1Xh;26 = 0;WoLyf2f85YCa5FhB0Y0qHm7CwpYbA7ApVFcJ8jaY;mpz96zijIkT0kO4cKnRVz17yqLx5heBWyjBU2xrJ
mpz96zijIkT0kO4cKnRVz17yqLx5heBWyjBU2xrJ;0 = 0;!1;!1
WoLyf2f85YCa5FhB0Y0qHm7CwpYbA7ApVFcJ8jaY;0 = 0;!4;!4
fnOQVIvXoeKK5JLzG2plTDck75tzbamfvsGqxhop;35 = 0;!3;rQ9pjDNLqsxlUMzFm69qFC5TpRjx6cpA7mmBp1Xh
599CbMH4cIImGh7v5wmmylLWFI3hFYHPwMOFwGPG;397 = 0;!2;fnOQVIvXoeKK5JLzG2plTDck75tzbamfvsGqxhop
2NOjMpufwzHiIocSr84e9owifOIkVgLI2xWMarLp;0 = 0;!2;!2
