0;105 = 0;Rj1imh6AFjEyDaUx9u7HWdiwZx9mY24szu4jnwvN;G46N4E65r9zKXYAC48fpJIU1JpxEQL5WiOCgYgQK
vCBQQYDZVAYcXwXPX6aT0f56cDuSpAqEqpQ2yirf;26 = 0;!2;!2
G46N4E65r9zKXYAC48fpJIU1JpxEQL5WiOCgYgQK;34 = 0;!1;vCBQQYDZVAYcXwXPX6aT0f56cDuSpAqEqpQ2yirf
Rj1imh6AFjEyDaUx9u7HWdiwZx9mY24szu4jnwvN;0 = 0;!5;!5
