0;147 = 0;ZFATpN6wrV1tlTQR8mX3G6Nfwcfbc3EAEw2TSUTM;45uXULzU0Eykl8wZbtPNPd5dwGt1VAB3awvQvvRP
uuvqgQO7OR6SoGduEe1oH0hYtxalfbwdjaWuw6qK;0 = 0;!3;!3
lMjDYGhMLKkGS7ZfNMJDeVFvWsLKFtofrbMHZsX1;28 = 0;!5;uuvqgQO7OR6SoGduEe1oH0hYtxalfbwdjaWuw6qK
S034dJctdFqhYqxLNQyiuT5oiDcm7AAL2Dy09GkI;34 = 0;!5;lMjDYGhMLKkGS7ZfNMJDeVFvWsLKFtofrbMHZsX1
45uXULzU0Eykl8wZbtPNPd5dwGt1VAB3awvQvvRP;22 = 0;!5;S034dJctdFqhYqxLNQyiuT5oiDcm7AAL2Dy09GkI
ZFATpN6wrV1tlTQR8mX3G6Nfwcfbc3EAEw2TSUTM;0 = 0;!5;!5
