0;196 = 0;eDenEiQfgDo1Yu7s5KyNzVinrg6o5mOTJxHKk4LX;VpfpPsZ7uoqo6f0vetTEKnTbSKWy1IICCop0qdly
IggykK12o2rqwNR7YKiqZdG4ykjmOQKViLINJjNX;26 = 0;EI81KHiMerWBAzjvQYPOtpdC1z6RqWHBRswEmCre;N8XyFJyu7xMAqKSeioK7ye8ENarjcqg210ADxBuX
N8XyFJyu7xMAqKSeioK7ye8ENarjcqg210ADxBuX;0 = 0;!2;!2
EI81KHiMerWBAzjvQYPOtpdC1z6RqWHBRswEmCre;59 = 0;!3;!3
ODAr50Q1EUwS8UoLMft4OVG184gmXo0hRvOzHhiz;399 = 0;!4;IggykK12o2rqwNR7YKiqZdG4ykjmOQKViLINJjNX
VpfpPsZ7uoqo6f0vetTEKnTbSKWy1IICCop0qdly;395 = 0;!3;ODAr50Q1EUwS8UoLMft4OVG184gmXo0hRvOzHhiz
eDenEiQfgDo1Yu7s5KyNzVinrg6o5mOTJxHKk4LX;0 = 0;!3;!3
