0;377 = 0;ZOzHtW7zGnyhEfGAaX1UiPJtBryrGOEmG6zeNnTg;0TTphEUzWpwMP36X2yfIyySHRjUrRTulGIWmBcjM
zVeK3YiRlIEEWxxIgLxMMBrnTWcyUujNglnWo0e5;0 = 0;!2;!2
47yvFvttPcfvRrmz9e7GOoYGm2LlAH1bcgEXGKYL;22 = 0;!1;zVeK3YiRlIEEWxxIgLxMMBrnTWcyUujNglnWo0e5
0TTphEUzWpwMP36X2yfIyySHRjUrRTulGIWmBcjM;25 = 0;!1;47yvFvttPcfvRrmz9e7GOoYGm2LlAH1bcgEXGKYL
ZOzHtW7zGnyhEfGAaX1UiPJtBryrGOEmG6zeNnTg;0 = 0;!1;!1
