0;216 = 0;aiGYjpYgsBfUWI9XJ7f1QjLPYlcs45frDEOFMZmO;rNIXcgK4V6aAskMhO42d7Eg7v9OEUAgGEVmyZDfK
nLBry8HhAradlgTiR46lDU41jpjOSyX41JhHSHmR;26 = 0;foysP9DEZT7i6sN5V3HfgVCY1Ja6RNja2p5PjLOr;e97D8rYjFiiz2toCajta0RYMldZczUdA4AbDOzEI
e97D8rYjFiiz2toCajta0RYMldZczUdA4AbDOzEI;0 = 0;!3;!3
foysP9DEZT7i6sN5V3HfgVCY1Ja6RNja2p5PjLOr;0 = 0;!2;!2
gr0ggN0Ne1apN1CWE3Q9IPQZblETuEJ2IfXTOhv0;25 = 0;!5;nLBry8HhAradlgTiR46lDU41jpjOSyX41JhHSHmR
rNIXcgK4V6aAskMhO42d7Eg7v9OEUAgGEVmyZDfK;399 = 0;!5;gr0ggN0Ne1apN1CWE3Q9IPQZblETuEJ2IfXTOhv0
aiGYjpYgsBfUWI9XJ7f1QjLPYlcs45frDEOFMZmO;0 = 0;!4;!4
