0;80 = 0;tMqkKu5l7hjdhLIhgaPtVKfOCRlB6MS3oqKFl9y6;7BCJaWftDFPBz3GSr3fRoNiYXRb5cuh9pU4WgsXQ
0LXQx0fHoB1zP0Fx5bA4MogT5SwuPQIi15OtqrMr;26 = 0;vUsX0HngwHDcPAslJwqHMEm4v65UXP8Gdcv5TdvM;iABQPhGz2i2ZZKThb9u718lioa8vVdDIYZTIOZ8x
iABQPhGz2i2ZZKThb9u718lioa8vVdDIYZTIOZ8x;0 = 0;!3;!3
vUsX0HngwHDcPAslJwqHMEm4v65UXP8Gdcv5TdvM;0 = 0;!2;!2
ZJBxTHw45WPFVw5LIIuiWBs09xBPBqTMFJ7rE9yc;399 = 0;!5;0LXQx0fHoB1zP0Fx5bA4MogT5SwuPQIi15OtqrMr
7BCJaWftDFPBz3GSr3fRoNiYXRb5cuh9pU4WgsXQ;25 = 0;!5;ZJBxTHw45WPFVw5LIIuiWBs09xBPBqTMFJ7rE9yc
tMqkKu5l7hjdhLIhgaPtVKfOCRlB6MS3oqKFl9y6;0 = 0;!4;!4
