0;49 = 0;gNXnGrrEWI39j273fpMReCCSxYGivQ7ZjUfLoPHk;FzsxvqPznQYVSexNcAWwmjax62bnnmQo1C7NutNs
PtbalIKn8YLR5DOGno4vAuiQjeObQrVAE4YTH9Bm;399 = 0;!4;!4
FzsxvqPznQYVSexNcAWwmjax62bnnmQo1C7NutNs;21 = 0;!3;PtbalIKn8YLR5DOGno4vAuiQjeObQrVAE4YTH9Bm
gNXnGrrEWI39j273fpMReCCSxYGivQ7ZjUfLoPHk;0 = 0;!3;!3
