0;240 = 0;yO2dzPZoHo3X3a6VuqIoNb2ESlgnw4ZWnxbhrc3E;fcf3cbU8FlAtQ10vF4llJiuSOv00c3AFmM5TrLw9
fcf3cbU8FlAtQ10vF4llJiuSOv00c3AFmM5TrLw9;399 = 0;krkRrEtjgZ6VbsNILBIDWUIdKdxeiKiZfRtllHRZ;iRcx3MqfTXWBt1PDyrSOpEc3SeXEDuSorQzmk8Dg
nZaJe7R7nl3nUnIXeMTGLi0HzDYLiHCuzwObq93u;0 = 0;!2;!2
iRcx3MqfTXWBt1PDyrSOpEc3SeXEDuSorQzmk8Dg;48 = 0;nZaJe7R7nl3nUnIXeMTGLi0HzDYLiHCuzwObq93u;!4
krkRrEtjgZ6VbsNILBIDWUIdKdxeiKiZfRtllHRZ;21 = 0;!5;!5
yO2dzPZoHo3X3a6VuqIoNb2ESlgnw4ZWnxbhrc3E;0 = 0;!2;!2
