0;69 = 0;YMjJWOkcVZEmAQK30EH0kAlnkXIjvuXrtVG15bs7;bkAkXX80PcZIAnp7AmrXubwDO36L3eOnLZFISAXd
BMRw2lfKtES4scHPoPRWRrl3Mjz5CKQd3hUhsJA5;0 = 0;!2;!2
bkAkXX80PcZIAnp7AmrXubwDO36L3eOnLZFISAXd;22 = 0;!1;BMRw2lfKtES4scHPoPRWRrl3Mjz5CKQd3hUhsJA5
YMjJWOkcVZEmAQK30EH0kAlnkXIjvuXrtVG15bs7;0 = 0;!1;!1
