0;204 = 0;2WtdPTnrqaha6fBLtIQflOP7wwGl4Oj6zBSWuqci;HBKYwTsPE2ZrWxNL2Jh4YqfaI1CRSygogdThTqL3
RSlrnp27D7zJN2bynLmufHoNrrFKgETKDCMSHlOr;0 = 0;!2;!2
HBKYwTsPE2ZrWxNL2Jh4YqfaI1CRSygogdThTqL3;22 = 0;!1;RSlrnp27D7zJN2bynLmufHoNrrFKgETKDCMSHlOr
2WtdPTnrqaha6fBLtIQflOP7wwGl4Oj6zBSWuqci;0 = 0;!1;!1
