0;380 = 0;3RqJ4n5pozjYacPIiGtVYQzSoUiOBkuQFEEcb9rE;ZxZ4Wgsz4tyfNUMZXx7j3AIaVioxyQ0O1sefWNrU
959XbWXY7WcTNEFPxOxgBqJ2cjNG3SxHFNHa1fUU;399 = 0;UYOvxPENrfj4AEnEohsvenjoUGzqFmjRZswfnwyl;VTQYPHLSdlyNVqNgvbGDB3hOzXGW1mcIi6h2yamw
VTQYPHLSdlyNVqNgvbGDB3hOzXGW1mcIi6h2yamw;0 = 0;!5;!5
UYOvxPENrfj4AEnEohsvenjoUGzqFmjRZswfnwyl;0 = 0;!3;!3
OWYMFWsuGrwkk6Gok7orlQXOAb41uprAxlPl7n9Y;32 = 0;!2;959XbWXY7WcTNEFPxOxgBqJ2cjNG3SxHFNHa1fUU
ZxZ4Wgsz4tyfNUMZXx7j3AIaVioxyQ0O1sefWNrU;34 = 0;!1;OWYMFWsuGrwkk6Gok7orlQXOAb41uprAxlPl7n9Y
3RqJ4n5pozjYacPIiGtVYQzSoUiOBkuQFEEcb9rE;0 = 0;!5;!5
