0;80 = 0;UtPRpHvVzdr2Fon0ThKo9uYNdvZTtchFzrQZC7pC;jE3LEkKTURVPWGazXRIiC0qYTqEUCg6KLQizj47o
N38BJBl9uNzev4T4woZsuQyfcjea1XzFIxW5Pvyg;0 = 0;!3;!3
QMIZ3sHKRPUks9tvAeWFvSO2muRF8U4fmLjM0SkX;395 = 0;N38BJBl9uNzev4T4woZsuQyfcjea1XzFIxW5Pvyg;!5
cKPahnSSOF0wLtXImuVWQYJE8q3O39CwFKjd6l1s;22 = 0;!3;QMIZ3sHKRPUks9tvAeWFvSO2muRF8U4fmLjM0SkX
jE3LEkKTURVPWGazXRIiC0qYTqEUCg6KLQizj47o;34 = 0;!1;cKPahnSSOF0wLtXImuVWQYJE8q3O39CwFKjd6l1s
UtPRpHvVzdr2Fon0ThKo9uYNdvZTtchFzrQZC7pC;0 = 0;!4;!4
