0;132 = 0;qo57DiEHYT1Kcsac49u9ZWMXxD7LbKPQDcuRiOzr;HtUtkJVlB9SqBJlhEuZFVNifnOoaapZWRrRlcSPG
RSoj4JgiZwPQrGCCL0pIBGb3vDJNwrfleOgkvYpx;0 = 0;!0;!0
J2uPoj5l7Ya8Ij019VYV5TMhr0x5ICHY5FOertYt;21 = 0;!2;RSoj4JgiZwPQrGCCL0pIBGb3vDJNwrfleOgkvYpx
HtUtkJVlB9SqBJlhEuZFVNifnOoaapZWRrRlcSPG;48 = 0;!5;J2uPoj5l7Ya8Ij019VYV5TMhr0x5ICHY5FOertYt
qo57DiEHYT1Kcsac49u9ZWMXxD7LbKPQDcuRiOzr;0 = 0;!4;!4
