0;106 = 0;rwMXiJmDSxmlqdzWjTv2mlviw2XqMxasSsUYdWrQ;6wzSOSDAXsxtmVmwlZ6IdOIqDhA0ou4UmWtU2c8w
PwqbKfkJVZTREXruf8nIH1IuDpKU6tGIQsb49uv9;0 = 0;!1;!1
mc58ywLATC7fvmQ3KUxW6uP2KXer5xNCFHslClrR;399 = 0;!5;PwqbKfkJVZTREXruf8nIH1IuDpKU6tGIQsb49uv9
6wzSOSDAXsxtmVmwlZ6IdOIqDhA0ou4UmWtU2c8w;28 = 0;!0;mc58ywLATC7fvmQ3KUxW6uP2KXer5xNCFHslClrR
rwMXiJmDSxmlqdzWjTv2mlviw2XqMxasSsUYdWrQ;0 = 0;!3;!3
