0;51 = 0;16pLgeylLMPI0t2d6kt9cdWcYIE5frWpM5vXKd5R;h11N7hatwKxqJngKLwI30gIJQz3sznzahTixllDS
6tUQqSO69rZml6PvURJ7PZJPIPd9auUr5Rx1ifUH;26 = 0;!2;!2
h11N7hatwKxqJngKLwI30gIJQz3sznzahTixllDS;389 = 0;!3;6tUQqSO69rZml6PvURJ7PZJPIPd9auUr5Rx1ifUH
16pLgeylLMPI0t2d6kt9cdWcYIE5frWpM5vXKd5R;0 = 0;!1;!1
