0;329 = 0;75GVAApPgepngZr1nyt0gXmORMLf5yCtINl6XPsl;wDYNZZ7AN0zWHoe2EfVudM1Fm4hedYtfUhXa8wYx
YfaPmm2bHvFC4qyqAkLzBo378AmdCVUsz8AiQCPQ;0 = 0;!2;!2
MBhogkp73etTX8ikmJjyhgEgbXT7vKI4ehsTXjvg;28 = 0;!4;YfaPmm2bHvFC4qyqAkLzBo378AmdCVUsz8AiQCPQ
JlDlRuXlZghz9SJwIN7UO18EGhMuZroK7ZXLVL7p;22 = 0;!3;MBhogkp73etTX8ikmJjyhgEgbXT7vKI4ehsTXjvg
wDYNZZ7AN0zWHoe2EfVudM1Fm4hedYtfUhXa8wYx;197 = 0;!0;JlDlRuXlZghz9SJwIN7UO18EGhMuZroK7ZXLVL7p
75GVAApPgepngZr1nyt0gXmORMLf5yCtINl6XPsl;0 = 0;!1;!1
