0;77 = 0;vVIM0s3j3AVxbafsHlvQDt3TTIMY3wh2VtRWEWGi;SVW7eRC05aNJPVI3uHVzbqauMY0KDHU6c1lhrRtK
MFJGTyL7AcwHfmy6vQ5j0hlQcVLGncoi7T69YTa8;26 = 0;s6DeJWlunnUfNVbaUwZdziGQqSttQtdm0m0AVHtf;ljyvrAqwBmfg5yCoclUKjDTODElNkJPYrdtYN8f4
ljyvrAqwBmfg5yCoclUKjDTODElNkJPYrdtYN8f4;0 = 0;!2;!2
s6DeJWlunnUfNVbaUwZdziGQqSttQtdm0m0AVHtf;0 = 0;!1;!1
SVW7eRC05aNJPVI3uHVzbqauMY0KDHU6c1lhrRtK;34 = 0;!4;MFJGTyL7AcwHfmy6vQ5j0hlQcVLGncoi7T69YTa8
vVIM0s3j3AVxbafsHlvQDt3TTIMY3wh2VtRWEWGi;0 = 0;!4;!4
