0;22 = 0;aUx8D0bIshVurdTAyiBwlNSUIFVW5u1230tqLU3I;fQT0cuuBVeMmcI7Qxme2vV7pzp6bUXkv1JGCTHXF
fQT0cuuBVeMmcI7Qxme2vV7pzp6bUXkv1JGCTHXF;59 = 0;!1;!1
aUx8D0bIshVurdTAyiBwlNSUIFVW5u1230tqLU3I;177 = 0;!5;!5
