0;42 = 0;U6vZsmCJvoDBASyG5jNrFNJ9NkPawPHDAUdjI0hk;c1Euwr1LxSHaghifatxNw671smQIY1ZImWuKPdXi
ausgeKJbsnwUtIkiLgqlmfFCymDKo98Bhb64vJrr;0 = 0;!4;!4
c1Euwr1LxSHaghifatxNw671smQIY1ZImWuKPdXi;34 = 0;!1;ausgeKJbsnwUtIkiLgqlmfFCymDKo98Bhb64vJrr
U6vZsmCJvoDBASyG5jNrFNJ9NkPawPHDAUdjI0hk;0 = 0;!4;!4
