0;64 = 0;8vpGJq18vr8MlPuWbm23WsA8x0IpykjI3v6RVzqV;7TXP2HQESOv9FkR6wJfmFkuWiE9h9qKDI6pFlrct
AJyIYESK851YYrKKPFmxNvTn0oNO6AtAs6kVE3qC;0 = 0;!5;!5
2WxxcBkAbAHv6Oi9bqGG90pt2D6FSvO2pVws12Zk;48 = 0;AJyIYESK851YYrKKPFmxNvTn0oNO6AtAs6kVE3qC;!4
7TXP2HQESOv9FkR6wJfmFkuWiE9h9qKDI6pFlrct;397 = 0;!0;2WxxcBkAbAHv6Oi9bqGG90pt2D6FSvO2pVws12Zk
8vpGJq18vr8MlPuWbm23WsA8x0IpykjI3v6RVzqV;0 = 0;!4;!4
